fixture_id,side,team_id,team_name,team_assists,team_blocks,team_blocksReceived,team_efficiency,team_foulsTotal,team_freeThrowsAttempted,team_freeThrowsMade,team_freeThrowsPercentage,team_minutes,team_plusMinus,team_points,team_pointsThreeAttempted,team_pointsThreeMade,team_pointsThreePercentage,team_pointsTwoAttempted,team_pointsTwoMade,team_pointsTwoPercentage,team_rebounds,team_reboundsDefensive,team_reboundsOffensive,team_steals,team_turnovers
540b0c46-6715-11f0-b612-9ffadebc148f,home,,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,
540b0c46-6715-11f0-b612-9ffadebc148f,away,,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,
53e30b4c-6715-11f0-9901-9ffadebc148f,home,,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,
53e30b4c-6715-11f0-9901-9ffadebc148f,away,,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,
2eb500b4-6715-11f0-9108-3deba12f98c8,home,689d1a0a-55bd-11f0-920c-f5c62c2828ba,Saint-Quentin,18.0,1.0,1.0,,23.0,8.0,7.0,87.5,PT200M,,73.0,24.0,10.0,41.67,52.0,18.0,34.62,32.0,15.0,17.0,8.0,10.0
2eb500b4-6715-11f0-9108-3deba12f98c8,away,736b73ae-55bc-11f0-820e-2bf5ce89dac3,Monaco,26.0,1.0,1.0,,17.0,33.0,23.0,69.7,PT200M,,98.0,28.0,13.0,46.43,25.0,18.0,72.0,41.0,31.0,10.0,7.0,15.0
52d69654-6715-11f0-a749-9ffadebc148f,home,c3b5d870-55b5-11f0-9d0f-171bcde6f181,Boulazac,24.0,1.0,2.0,,24.0,30.0,23.0,76.67,PT200M,,95.0,27.0,12.0,44.44,28.0,18.0,64.29,42.0,35.0,7.0,5.0,18.0
52d69654-6715-11f0-a749-9ffadebc148f,away,88bff512-55bd-11f0-aa84-8366061a4b55,Strasbourg,19.0,2.0,1.0,,21.0,25.0,17.0,68.0,PT200M,,76.0,37.0,7.0,18.92,32.0,19.0,59.38,31.0,20.0,11.0,5.0,12.0
0c1513b4-6715-11f0-9c8b-27e6e78614e1,home,88bff512-55bd-11f0-aa84-8366061a4b55,Strasbourg,20.0,3.0,2.0,,26.0,21.0,15.0,71.43,PT200M,,84.0,29.0,13.0,44.83,24.0,15.0,62.5,32.0,19.0,13.0,4.0,19.0
0c1513b4-6715-11f0-9c8b-27e6e78614e1,away,e796c4fa-55bc-11f0-a2f1-8f0878f0f894,Nanterre,12.0,2.0,3.0,,21.0,24.0,14.0,58.33,PT200M,,74.0,27.0,6.0,22.22,36.0,21.0,58.33,30.0,12.0,18.0,5.0,13.0
51f6848a-6715-11f0-8d17-9ffadebc148f,home,25bcb29d-55bc-11f0-8037-fb553c4eab1b,Lyon-Villeurbanne,16.0,3.0,0.0,,25.0,29.0,24.0,82.76,PT200M,,91.0,23.0,7.0,30.43,36.0,23.0,63.89,41.0,28.0,13.0,2.0,11.0
51f6848a-6715-11f0-8d17-9ffadebc148f,away,703aa4cc-55b7-11f0-8fb8-35ef9dc7437a,Bourg-en-Bresse,14.0,0.0,3.0,,28.0,24.0,14.0,58.33,PT200M,,77.0,27.0,9.0,33.33,40.0,18.0,45.0,33.0,17.0,16.0,5.0,10.0
2e7e23e7-6715-11f0-b733-3deba12f98c8,home,c281453b-55b7-11f0-a6ef-350ae152a495,Cholet,24.0,2.0,0.0,,16.0,30.0,23.0,76.67,PT200M,,93.0,30.0,14.0,46.67,24.0,14.0,58.33,36.0,28.0,8.0,9.0,20.0
2e7e23e7-6715-11f0-b733-3deba12f98c8,away,689d1a0a-55bd-11f0-920c-f5c62c2828ba,Saint-Quentin,20.0,0.0,2.0,,23.0,11.0,6.0,54.55,PT200M,,80.0,42.0,12.0,28.57,35.0,19.0,54.29,39.0,22.0,17.0,10.0,16.0
2f1cd491-6715-11f0-9760-3deba12f98c8,home,f43b1b0f-55bc-11f0-84d9-01499d2f0a07,Paris,20.0,1.0,3.0,,25.0,25.0,22.0,88.0,PT200M,,87.0,38.0,11.0,28.95,34.0,16.0,47.06,34.0,21.0,13.0,8.0,9.0
2f1cd491-6715-11f0-9760-3deba12f98c8,away,c3b5d870-55b5-11f0-9d0f-171bcde6f181,Boulazac,27.0,3.0,2.0,,28.0,25.0,20.0,80.0,PT200M,,103.0,32.0,17.0,53.12,33.0,16.0,48.48,46.0,31.0,15.0,6.0,15.0
2f6a415a-6715-11f0-af9a-3deba12f98c8,home,88bff512-55bd-11f0-aa84-8366061a4b55,Strasbourg,21.0,4.0,3.0,,20.0,27.0,20.0,74.07,PT225M,,87.0,21.0,7.0,33.33,41.0,23.0,56.1,42.0,31.0,11.0,7.0,20.0
2f6a415a-6715-11f0-af9a-3deba12f98c8,away,703aa4cc-55b7-11f0-8fb8-35ef9dc7437a,Bourg-en-Bresse,12.0,4.0,3.0,,23.0,30.0,23.0,76.67,PT225M,,83.0,32.0,6.0,18.75,44.0,21.0,47.73,41.0,22.0,19.0,12.0,14.0
53c34cce-6715-11f0-8149-9ffadebc148f,home,f43b1b0f-55bc-11f0-84d9-01499d2f0a07,Paris,15.0,4.0,3.0,,30.0,32.0,25.0,78.12,PT225M,,103.0,47.0,14.0,29.79,35.0,18.0,51.43,49.0,28.0,21.0,10.0,23.0
53c34cce-6715-11f0-8149-9ffadebc148f,away,989c44aa-55b7-11f0-990a-abf64778d398,Chalon/Saône,21.0,3.0,4.0,,26.0,36.0,25.0,69.44,PT225M,,105.0,24.0,10.0,41.67,46.0,25.0,54.35,36.0,24.0,12.0,12.0,22.0
52ad5b69-6715-11f0-aea0-9ffadebc148f,home,c281453b-55b7-11f0-a6ef-350ae152a495,Cholet,16.0,4.0,2.0,,24.0,32.0,20.0,62.5,PT200M,,93.0,18.0,5.0,27.78,44.0,29.0,65.91,34.0,23.0,11.0,10.0,12.0
52ad5b69-6715-11f0-aea0-9ffadebc148f,away,25bcb29d-55bc-11f0-8037-fb553c4eab1b,Lyon-Villeurbanne,17.0,2.0,4.0,,26.0,24.0,19.0,79.17,PT200M,,85.0,32.0,12.0,37.5,28.0,15.0,53.57,30.0,19.0,11.0,4.0,18.0
0c1ca8d7-6715-11f0-aa83-27e6e78614e1,home,da0b634d-55bc-11f0-99f8-2dd52d4792f3,Nancy,30.0,2.0,1.0,,22.0,37.0,29.0,78.38,PT200M,,117.0,23.0,10.0,43.48,46.0,29.0,63.04,48.0,29.0,19.0,5.0,10.0
0c1ca8d7-6715-11f0-aa83-27e6e78614e1,away,ca771ea2-55bb-11f0-a0bc-85c4b9894a07,Limoges,18.0,1.0,2.0,,30.0,19.0,12.0,63.16,PT200M,,85.0,15.0,9.0,60.0,49.0,23.0,46.94,21.0,13.0,8.0,6.0,9.0
2ec2bc4e-6715-11f0-858a-3deba12f98c8,home,9ebf8651-55bb-11f0-b6ad-2f4a48ae850a,Le Portel,10.0,4.0,1.0,,25.0,29.0,22.0,75.86,PT200M,,57.0,25.0,3.0,12.0,32.0,13.0,40.62,28.0,27.0,1.0,5.0,18.0
2ec2bc4e-6715-11f0-858a-3deba12f98c8,away,f43b1b0f-55bc-11f0-84d9-01499d2f0a07,Paris,29.0,1.0,4.0,,24.0,30.0,23.0,76.67,PT200M,,120.0,40.0,13.0,32.5,47.0,29.0,61.7,62.0,40.0,22.0,10.0,10.0
528eb9d9-6715-11f0-a226-9ffadebc148f,home,7e9f3d8d-55bb-11f0-ae66-df8c8ac8c329,Le Mans,21.0,5.0,2.0,,26.0,27.0,21.0,77.78,PT200M,,108.0,31.0,15.0,48.39,32.0,21.0,65.62,28.0,19.0,9.0,7.0,11.0
528eb9d9-6715-11f0-a226-9ffadebc148f,away,c3b5d870-55b5-11f0-9d0f-171bcde6f181,Boulazac,20.0,2.0,5.0,,25.0,32.0,24.0,75.0,PT200M,,94.0,22.0,10.0,45.45,35.0,20.0,57.14,31.0,20.0,11.0,6.0,15.0
51eeac85-6715-11f0-9907-9ffadebc148f,home,88bff512-55bd-11f0-aa84-8366061a4b55,Strasbourg,23.0,4.0,5.0,,22.0,35.0,28.0,80.0,PT225M,,96.0,25.0,8.0,32.0,42.0,22.0,52.38,42.0,27.0,15.0,7.0,14.0
51eeac85-6715-11f0-9907-9ffadebc148f,away,238ad480-55b8-11f0-ada9-1b2b39c0d600,Dijon,22.0,4.0,4.0,,23.0,24.0,20.0,83.33,PT225M,,98.0,31.0,12.0,38.71,41.0,21.0,51.22,36.0,25.0,11.0,4.0,11.0
0d40cd96-6715-11f0-bea3-27e6e78614e1,home,f43b1b0f-55bc-11f0-84d9-01499d2f0a07,Paris,27.0,1.0,2.0,,20.0,22.0,19.0,86.36,PT200M,,110.0,43.0,17.0,39.53,35.0,20.0,57.14,42.0,25.0,17.0,15.0,16.0
0d40cd96-6715-11f0-bea3-27e6e78614e1,away,9ebf8651-55bb-11f0-b6ad-2f4a48ae850a,Le Portel,24.0,1.0,2.0,,20.0,21.0,14.0,66.67,PT200M,,80.0,28.0,8.0,28.57,38.0,21.0,55.26,40.0,24.0,16.0,8.0,27.0
2d9ef36d-6715-11f0-824e-3deba12f98c8,home,88bff512-55bd-11f0-aa84-8366061a4b55,Strasbourg,19.0,1.0,1.0,,19.0,19.0,13.0,68.42,PT200M,,84.0,33.0,11.0,33.33,39.0,19.0,48.72,43.0,22.0,21.0,6.0,9.0
